front;back
Qual o prazo após o qual a dupla visita não é mais exigida para lei nova?;90 dias da vigência da nova disposição (não da publicação).
V ou F: Os 90 dias da dupla visita para lei nova são contados da publicação.;Falso. São contados da data de vigência, não da publicação.
Qual o prazo para estabelecimentos recentemente inaugurados terem direito à dupla visita?;90 dias do efetivo funcionamento do novo estabelecimento.
V ou F: Filial recém-inaugurada de empresa antiga tem direito à dupla visita.;Falso. A dupla visita para estabelecimentos novos se aplica apenas a novos empreendimentos com novos registros.
Empresas com até quantos empregados têm direito à dupla visita (Lei 7.855/89)?;Até 10 empregados, salvo falta de registro, anotação de CTPS, fraude, resistência ou embaraço à fiscalização.
Microempresas e EPPs têm direito à dupla visita?;Sim (LC 123/2006, art. 55, §1º), salvo falta de registro/CTPS, reincidência, fraude, resistência ou embaraço.
Quando a dupla visita NÃO se aplica a ME e EPP (Portaria MTP 671)?;Trabalho análogo a escravo, trabalho infantil, atraso salarial, acidente grave/fatal, risco grave e iminente, descumprimento de embargo/interdição.
Qual o prazo máximo que o AFT pode conceder para regularização por notificação?;60 dias.
A empresa pode pedir prorrogação do prazo de notificação? Como?;Sim. Por escrito, com motivos relevantes, em até 10 dias do recebimento da notificação.
Qual o prazo máximo de prorrogação concedida pela autoridade regional?;Até 120 dias contados da data do Termo de Notificação.
É possível prazo superior a 120 dias para regularização?;Sim, condicionado à negociação prévia entre empregador e sindicato dos empregados, com presença da autoridade regional.
O que fundamenta o embargo e a interdição na NR 28?;Art. 161 da CLT, que trata de grave e iminente risco para o trabalhador.
Quem pode interditar ou embargar, segundo o art. 161 da CLT?;O Delegado Regional do Trabalho (atualmente Superintendente Regional), à vista de laudo técnico de grave e iminente risco.
Qual a diferença entre embargo e interdição?;Embargo paralisa obra, interdição paralisa estabelecimento, setor de serviço, máquina ou equipamento.
O que caracteriza descumprimento reiterado segundo a NR 28?;Auto de infração lavrado 3 vezes pelo mesmo item de NR, ou negligência reiterada ignorando advertências e sanções.
A quem o AFT deve apresentar relatório de descumprimento reiterado?;Ao Superintendente Regional do Trabalho.
O que o Superintendente Regional pode fazer diante de descumprimento reiterado?;Convocar representante legal da empresa para apurar motivos e propor solução.
As multas de SST variam em função de quais fatores?;Gravidade da infração (1 a 4), tipo (segurança ou medicina do trabalho) e quantidade total de empregados da empresa.
Qual a gradação de infrações utilizada no Anexo II da NR 28?;Gradação de 1 a 4, sendo 4 a mais grave.
Quais os tipos de infração classificados no Anexo II da NR 28?;S (Segurança do Trabalho) e M (Medicina do Trabalho).
V ou F: A lavratura do auto de infração se confunde com a imposição da multa.;Falso. São atos distintos: o auto é do AFT, a multa é imposta pela autoridade regional (chefe do setor de multas).
V ou F: A NR 28 ainda expressa multas em UFIR/BTN.;Verdadeiro. As multas ainda são expressas em BTN, exceto a NR 29 que foi atualizada para Reais.
O que acontece se a multa imposta não for quitada?;O débito é encaminhado à Procuradoria da Fazenda Nacional para inscrição em Dívida Ativa e cobrança executiva.
Quantas faixas de empregados existem na tabela de gradação de multas (Anexo I da NR 28)?;8 faixas: 1-10, 11-25, 26-50, 51-100, 101-250, 251-500, 501-1000 e mais de 1000.
O que é o Procedimento Especial para Ação Fiscal (art. 627-A CLT)?;Procedimento para orientação e prevenção de infrações mediante Termo de Compromisso, quando há motivo grave que dificulte o cumprimento.
Quem pode instaurar o Procedimento Especial para Ação Fiscal?;O Auditor-Fiscal do Trabalho, com anuência da chefia imediata.
O auto de infração pode ser lavrado por via postal?;Sim, excepcionalmente. A regra é lavratura no curso da ação fiscal, preferencialmente em meio eletrônico.
V ou F: O AFT pode usar meios audiovisuais para comprovar infração.;Verdadeiro. Pode usar todos os meios, inclusive audiovisuais, necessários à comprovação.
Quais documentos regulam a fiscalização além da NR 28?;Regulamento da Inspeção do Trabalho (RIT – Decreto 4.552/2002), Título VII da CLT e Lei 7.855/1989.
A fiscalização do trabalho possui quais três funções segundo a Convenção 81 da OIT?;Orientação, colaboração e punição.
V ou F: Caso o empregador não se adeque após autuação, será autuado novamente a cada nova fiscalização.;Verdadeiro. A autuação se repete até que a situação seja regularizada.
O que a concessão de prazo pelo AFT para regularização significa juridicamente?;É faculdade do AFT, mas uma vez concedida torna-se ato vinculado: não pode autuar se a irregularidade for sanada no prazo.
V ou F: O critério da dupla visita é a regra geral na fiscalização do trabalho.;Falso. É exceção ao dever legal de autuação, sua aplicação deve seguir estritamente as hipóteses fixadas em lei.
