front;back
O que significa SGH (ou GHS) no contexto da NR 26?;Sistema Globalmente Harmonizado de Classificação e Rotulagem de Produtos Químicos (Globally Harmonized System).
Qual o objetivo do SGH/GHS?;Padronização mundial para classificação, rotulagem e fichas de dados de segurança de produtos químicos.
O SGH visa garantir proteção a quem?;À saúde humana e ao meio ambiente durante o manuseio, transporte e uso final de produtos químicos.
Quais são os três pilares do SGH?;Classificação de perigos, rotulagem preventiva e Ficha com Dados de Segurança (FDS).
V ou F: O SGH é uma regulamentação de observância obrigatória por si só.;Falso. O SGH não é regulamentação, sua observância se tornou obrigatória no Brasil pela NR 26.
Qual público-alvo principal do SGH?;Trabalhadores nos locais de trabalho, consumidores, trabalhadores do transporte e pessoal de emergência.
Como deve ser classificado o produto químico utilizado no local de trabalho?;Quanto aos perigos para segurança e saúde dos trabalhadores, conforme critérios do SGH da ONU.
Na ausência de lista nacional de classificação harmonizada, o que pode ser utilizado?;Lista internacional de classificação harmonizada de substâncias perigosas.
O que é rotulagem preventiva segundo a NR 26?;Conjunto de elementos com informações escritas, impressas ou gráficas sobre produto químico, afixado à embalagem.
Quais os 6 elementos obrigatórios da rotulagem preventiva de produto perigoso?;Identificação/composição, pictograma de perigo, palavra de advertência, frases de perigo, frases de precaução e informações suplementares.
Produto químico NÃO classificado como perigoso precisa de rótulo?;Sim. Deve ter rotulagem preventiva simplificada com nome, informação de que não é perigoso e recomendações de precaução.
V ou F: Produto não classificado como perigoso deve ter no rótulo frases de advertência.;Falso. Deve ter recomendações de precaução, não de perigo nem de advertência.
Saneantes registrados na ANVISA estão dispensados de quê na NR 26?;Das obrigações de rotulagem preventiva estabelecidas nos itens 26.2.2, 26.2.2.1, 26.2.2.2 e 26.2.2.3.
Para quais produtos deve ser elaborada a Ficha com Dados de Segurança (FDS)?;Para produtos perigosos E para não perigosos cujos usos previstos derem origem a riscos à segurança e saúde.
Quem é responsável pela elaboração da FDS?;O fabricante ou, no caso de importação, o fornecedor nacional do produto químico.
O que a FDS de misturas deve conter?;Nome e concentração (ou faixa) das substâncias que representam perigo ou possuam limites de exposição ocupacional.
Na FDS de misturas, quando uma substância deve ser listada quanto ao perigo à saúde?;Quando presente em concentração igual ou superior aos valores de corte/limites de concentração do GHS para cada classe de perigo.
V ou F: A organização deve assegurar o acesso dos trabalhadores às FDS dos produtos que utilizam.;Verdadeiro. É obrigação da organização garantir esse acesso.
Sobre quais temas os trabalhadores devem ser treinados quanto a produtos químicos (NR 26)?;Compreensão da rotulagem e FDS, perigos, riscos, medidas preventivas para uso seguro e procedimentos de emergência.
V ou F: A NR 26 se aplica apenas a estabelecimentos industriais.;Falso. Aplica-se a estabelecimentos e locais de trabalho em geral.
Qual artigo da CLT fundamenta a identificação de produtos químicos na NR 26?;Art. 197 da CLT, que exige rótulo com composição, socorro imediato e símbolo de perigo.
O que a palavra 'produto químico' abrange no contexto do SGH?;Substâncias, produtos, misturas, preparados ou quaisquer outros termos adotados nos sistemas existentes.
Em que se baseia a padronização do SGH?;Definição de perigos, processos de classificação comparando dados a critérios já definidos, e comunicação via rótulos e FDS.
V ou F: As cores de segurança servem também para identificar tubulações de líquidos e gases.;Verdadeiro. A NR 26 prevê cores para identificar tubulações de líquidos e gases.
Qual o objetivo da NR 28?;Dispor sobre procedimentos de fiscalização do cumprimento dos preceitos legais de SST e penalidades por descumprimento.
Quem é o responsável pela lavratura do auto de infração em SST?;O Auditor-Fiscal do Trabalho (AFT).
A lavratura do auto de infração é ato discricionário ou vinculado?;Ato administrativo vinculado. Constatada a infração, o AFT deve lavrar o auto, sem margem de discricionariedade.
V ou F: A lavratura do auto de infração dispensa a empresa de regularizar a situação.;Falso. A lavratura NÃO dispensa a regularização, a empresa deve corrigir a irregularidade.
Quais são as exceções ao dever de lavratura do auto de infração?;Cabimento de dupla visita e instauração de Procedimento Especial para Ação Fiscal (art. 627-A CLT).
O que é o critério da dupla visita?;Exceção ao dever de autuação em que o AFT primeiro orienta/instrui o empregador, antes de autuar.
Em quais situações se aplica o critério da dupla visita (CLT art. 627)?;Promulgação de lei/regulamento novo e primeira inspeção em estabelecimentos recentemente inaugurados.
