front;back
Qual o objetivo da CIPA segundo a NR5?;Prevenção de acidentes e doenças relacionadas ao trabalho, tornando compatível o trabalho com a preservação da vida e promoção da saúde do trabalhador.
O que significa a sigla CIPA atualmente?;Comissão Interna de Prevenção de Acidentes e de Assédio.
Quem deve constituir e manter a CIPA?;Organizações e órgãos públicos da administração direta e indireta, Legislativo, Judiciário e MP que possuam empregados regidos pela CLT.
V ou F: A NR5 aplica-se exclusivamente a empregados celetistas.;FALSO. Nos termos previstos em lei, aplica-se também a outras relações jurídicas de trabalho (estatutários, avulsos).
V ou F: A CIPA é constituída por empresa.;FALSO. A CIPA deve ser constituída por estabelecimento, não por empresa.
O que é 'estabelecimento' para fins de dimensionamento da CIPA?;Local privado ou público, edificado ou não, móvel ou imóvel, próprio ou de terceiros, onde a organização exerce atividades em caráter temporário ou permanente.
Quais os dois critérios para dimensionar a CIPA no Quadro I?;Quantidade de empregados do estabelecimento e grau de risco da atividade econômica principal.
V ou F: A CIPA é composta apenas por representantes dos empregados.;FALSO. É composta paritariamente por representantes dos empregados E representantes da organização (empregador).
Como são escolhidos os representantes dos empregados na CIPA?;Por eleição com voto secreto, com participação apenas dos empregados interessados, independentemente de filiação sindical.
Como são escolhidos os representantes da organização (empregador) na CIPA?;São designados pelo empregador.
V ou F: Só podem votar na eleição da CIPA os empregados filiados ao sindicato.;FALSO. A participação é independente de filiação sindical, participam apenas os empregados interessados.
V ou F: É exigida qualificação em SST para ser membro da CIPA.;FALSO. Não é exigida qualquer qualificação ou especialização em SST, diferentemente do SESMT.
Quais categorias de membros existem na CIPA?;Membros titulares (efetivos) e suplentes, tanto na representação dos empregados quanto na do empregador.
O que significa 'paridade' na composição da CIPA?;A quantidade de membros (titulares e suplentes) de cada representação (empregados e empregador) deve ser a mesma.
V ou F: A CIPA pode ter seu número de membros reduzido antes do término do mandato se houver redução de empregados.;FALSO. Não pode ser reduzida antes do término do mandato, mesmo com redução de empregados.
Em que situação a CIPA pode ser desativada?;Somente no caso de encerramento das atividades do estabelecimento.
Se houver alteração do grau de risco, quando o redimensionamento da CIPA é efetivado?;Na próxima eleição, não durante o mandato vigente.
Como se dimensiona a CIPA em organizações de regime sazonal?;Pela média aritmética do número de trabalhadores contratados no ano civil anterior (1.º de janeiro a 31 de dezembro).
O que é o Princípio da Primazia da Realidade aplicado à CIPA?;A atividade efetivamente realizada prevalece sobre o CNAE registrado no CNPJ para definir o grau de risco no dimensionamento.
Quando o estabelecimento deve nomear um responsável (nomeado da CIPA)?;Quando não se enquadra no Quadro I (desobrigado de constituir CIPA) E não é atendido por SESMT.
Quem pode ser o nomeado da CIPA?;Um empregado do estabelecimento. Não pode ser estagiário, prestador de serviços nem o próprio empregador.
V ou F: O MEI está obrigado a nomear o representante da NR5.;FALSO. O MEI (Microempreendedor Individual) está dispensado de nomear o representante da NR5.
Com que periodicidade a nomeação do responsável deve ser formalizada?;Anualmente.
