front;back
Qual o objetivo da NR-17?;Estabelecer parâmetros que permitam a adaptação das condições de trabalho às características psicofisiológicas dos trabalhadores, proporcionando conforto, segurança, saúde e desempenho eficiente.
O que é Ergonomia?;Ciência que estuda a adaptação do trabalho ao homem, considerando aspectos físicos, cognitivos e organizacionais.
V ou F: A NR-17 visa adaptar o trabalhador ao trabalho.;Falso. A NR-17 visa adaptar as condições de trabalho às características psicofisiológicas dos trabalhadores.
Qual a Portaria que aprovou a nova redação da NR-17?;Portaria MTP 423/2021, com alterações pela Portaria MTP 4.219/2022.
Quais são os anexos da NR-17?;Anexo I: Trabalho dos Operadores de Checkout, Anexo II: Trabalho em Teleatendimento/Telemarketing.
O que é Análise Ergonômica do Trabalho (AET)?;Avaliação aprofundada das situações de trabalho que analisa demanda, tarefa, atividade, ambiente e organização do trabalho para propor soluções ergonômicas.
Quando a AET é obrigatória?;Quando identificada necessidade pela avaliação ergonômica preliminar, por determinação da fiscalização ou para aprofundar situações complexas.
O que é Avaliação Ergonômica Preliminar (AEP)?;Etapa inicial de análise que identifica os perigos e riscos ergonômicos nas situações de trabalho, podendo indicar necessidade de AET.
V ou F: Toda organização deve realizar AET.;Falso. A AEP é obrigatória, a AET somente quando indicada pela AEP ou exigida pela fiscalização.
Quais aspectos da organização do trabalho devem ser considerados na NR-17?;Normas de produção, modo operatório, exigência de tempo, ritmo, conteúdo das tarefas e relações de trabalho.
O que é modo operatório?;A forma como o trabalho é efetivamente realizado pelo trabalhador, considerando as variabilidades do processo.
V ou F: A postura adotada pelo trabalhador é uma escolha consciente.;Falso. A postura é resposta do corpo às demandas dos equipamentos, dimensões do posto e exigências da atividade.
O que é variabilidade intraindivíduo?;Variações que ocorrem no mesmo indivíduo ao longo do tempo (fadiga, ritmo circadiano, envelhecimento).
O que é variabilidade interindivíduos?;Diferenças entre indivíduos distintos (altura, peso, força, experiência, habilidades).
Qual a temperatura efetiva recomendada pela NR-17 para ambientes climatizados?;Entre 20°C e 23°C (com tolerância pela norma em situações específicas).
