front;back
Qual o objetivo da NR-22?;Disciplinar preceitos para tornar compatível o planejamento e desenvolvimento da atividade minerária com a busca permanente da segurança e saúde dos trabalhadores.
A quais atividades a NR-22 se aplica?;Minerações subterrâneas, minerações a céu aberto (inclusive garimpos/PLG), beneficiamentos minerais em áreas de mineração e pesquisa mineral.
V ou F: A NR-22 foi uma das 28 primeiras NRs publicadas em 1978.;Verdadeiro.
O que é mineração?;Atividade dedicada à pesquisa, exploração, extração e beneficiamento de minerais existentes nas rochas e/ou solos.
V ou F: A maior parte da extração mineral brasileira é subterrânea.;Falso. A maior parte é a céu aberto, em função da localização das jazidas.
V ou F: Menores de 18 anos podem trabalhar em minas.;Falso. O Decreto 6.481/2008 proíbe atividades em minas (subsolo e céu aberto) aos menores de 18 anos.
Quais inovações foram incluídas na NR-22 em 1999?;Direito de recusa, obrigatoriedade do PGR, criação da CIPAMIN, processos umidificados, alimentação no subsolo com nutricionista.
O que é abatimento de choco?;Operação manual para retirada de blocos de rochas instáveis nos tetos e/ou paredes em minas subterrâneas, com hastes apropriadas ou processos mecanizados.
O que é choco?;Fragmentos desarticulados de rochas localizados nos tetos e laterais das galerias de minas subterrâneas, com risco de queda.
V ou F: Chocos são uma das maiores causas de acidentes em minas subterrâneas.;Verdadeiro. Se não abatidos, podem cair sobre trabalhadores, máquinas e equipamentos.
O que é um scaler?;Equipamento mecanizado utilizado para abatimento de chocos, substituindo a operação manual.
O que é barragem de rejeitos?;Estrutura (barramento, dique ou similar) que forma parede de contenção de rejeitos do beneficiamento mineral.
O que é beneficiamento mineral?;Tratamento de minérios por métodos físicos ou químicos (preparação granulométrica, purificação, enriquecimento) sem alterar a constituição química.
O que é blaster?;Trabalhador encarregado de organizar e conectar explosivos para desmonte de rochas. Também chamado encarregado do fogo.
Qual a exigência para o blaster exercer a função?;Deve ser autorizado e possuir carteira emitida pela autoridade policial estadual.
O que é câmara de refúgio?;Local para proteger trabalhadores em emergências no subsolo, mantendo ambiente habitável até restabelecimento das condições ou resgate.
O que são fogos falhados?;Explosivos que não detonaram durante o desmonte e devem ser retirados pelo encarregado do fogo com equipamento não gerador de faíscas.
O que é fundo de saco em minas?;Áreas de galerias que ainda não se comunicaram com outras, tendo único acesso de entrada e saída, com maiores riscos e dificuldade de ventilação.
O que é gaiola na mineração?;Cabina em forma de gaiola utilizada para transporte vertical de pessoas ou equipamentos em minas.
O que é galeria?;Área de trânsito de equipamentos e pessoas que dá acesso às áreas de lavra em minas subterrâneas.
O que é garimpagem?;Atividade de aproveitamento de substâncias minerais garimpáveis, exercida por brasileiro ou cooperativa de garimpeiros sob regime de PLG.
O que é PLG?;Permissão de Lavra Garimpeira: outorgada a brasileiro e cooperativa de garimpeiros autorizada a funcionar como empresa de mineração.
O que é jazida?;Massa individualizada de substância mineral ou fóssil, aflorando à superfície ou no interior da terra, com valor econômico.
O que é lavra?;Conjunto de operações coordenadas para aproveitamento industrial da jazida, desde a extração até o beneficiamento.
Qual a diferença entre lavra a céu aberto e subterrânea?;A escolha depende da quantidade de material estéril sobrejacente ao minério que deve ser removido para acesso.
O que é estéril na mineração?;Material rochoso sem valor econômico gerado após beneficiamento, com baixa concentração de minério, disposto em pilhas.
O que é rejeito na mineração?;Material não aproveitável economicamente resultante dos processos de beneficiamento, geralmente areia ou siltes finos.
Qual a diferença entre estéril e rejeito?;Estéril é rocha não beneficiada sem valor econômico no momento, rejeito é material descartado após o processo de beneficiamento.
O que é leira?;Deposição de material rochoso nas margens de bancadas, estradas de minas ou depósitos para evitar queda de veículos.
O que é mina grisutosa?;Mina que pode conter grisu (gás inflamável e explosivo com metano misturado ao ar), geralmente em minas de carvão mineral.
O que é plano de fogo?;Projeto executivo para desmonte de rocha com explosivos, definindo perfuração, quantidade de explosivos, malha e esquema de ligação.
Quem elabora e quem executa o plano de fogo?;Elaboração: profissional legalmente habilitado. Execução: encarregado do fogo (blaster).
O que é poço (shaft)?;Via subterrânea vertical ou fortemente inclinada, equipada com sistema de transporte por tração a cabo.
O que é rocha encaixante?;Rocha preexistente que contém o minério disseminado ou em veios, também chamada rocha hospedeira ou intrudida.
O que é maciço desarticulado?;Formação de grande volume de rocha instável com elevado risco de desabamento.
O que é pesquisa mineral?;Trabalhos para definição da jazida, avaliação e determinação da exequibilidade de aproveitamento econômico.
Quem deve supervisionar a pesquisa mineral?;Engenheiro de minas ou geólogo legalmente habilitado.
V ou F: Toda mina deve estar sob supervisão técnica de profissional legalmente habilitado (PLH).;Verdadeiro. A organização deve manter registradas as atividades de supervisão técnica do PLH.
Quais os principais riscos químicos na mineração?;Poeira de sílica (britagem/moagem), fumos metálicos (solda) e gases como metano (minas de carvão/potássio).
O que é silicose?;Doença pulmonar causada pela inalação de poeira contendo sílica livre cristalizada, comum na mineração.
Qual medida preventiva contra silicose é obrigatória?;Processos umidificados nas operações de perfuração ou corte para evitar dispersão de poeira.
Quais os principais riscos físicos na mineração?;Radiações ionizantes (urânio), radiação solar (céu aberto), calor, ruído (britagem, perfuração) e vibrações (marteletes).
Quais os principais riscos de acidentes na mineração?;Queda de chocos, desmoronamentos, transmissão de força de máquinas, queda de altura, incêndio/explosão e choque elétrico.
Quais os riscos ergonômicos na mineração?;Posturas extremas, galerias com pé-direito baixo, esforço físico excessivo, ritmos/jornadas excessivas, trabalhos em turnos.
Qual a jornada normal para trabalho em minas no subsolo (CLT)?;6 horas diárias ou 36 horas semanais (art. 293 CLT).
O tempo de deslocamento dentro da mina é computado na jornada?;Sim. O tempo da boca da mina ao local de trabalho e vice-versa é computado para pagamento de salário (art. 294 CLT).
A jornada no subsolo pode ser prorrogada?;Sim, até 8h diárias/48h semanais, mediante acordo escrito e licença prévia da autoridade competente em higiene do trabalho (art. 295 CLT).
Qual a pausa obrigatória para trabalho consecutivo no subsolo?;A cada 3 horas consecutivas, pausa de 15 minutos para repouso, computada na jornada (art. 298 CLT).
V ou F: Mulheres podem trabalhar em minas de subsolo.;O art. 301 da CLT restringia o trabalho no subsolo a homens (21 a 50 anos), mas há discussão sobre sua recepção constitucional.
O que é CIPAMIN?;Comissão Interna de Prevenção de Acidentes da Mineração — equivalente à CIPA para a atividade minerária.
O que é desmonte de rocha com explosivos?;Operação de arrancamento, fragmentação, deslocamento e lançamento de rocha mediante aplicação de cargas explosivas.
O que é haste de abater choco?;Haste metálica (aço, alumínio, fibra de vidro/carbono) de comprimento e peso adequados para derrubar chocos com segurança.
Quais requisitos ergonômicos a haste de abater choco deve atender?;Comprimento e resistência suficientes, peso o menor possível para não gerar sobrecarga muscular excessiva.
O que é intemperização?;Processo de desgaste do solo/rocha causado por fatores como clima, mudanças de temperatura e água (intemperismo físico, químico e biológico).
O que motivou alterações na NR-22 em 2018 e 2019?;Rompimentos de barragens: Fundão em Mariana (2015) e Brumadinho (2019), ambos em Minas Gerais.
V ou F: A mineração subterrânea oferece maiores riscos que a céu aberto.;Verdadeiro. Por ser local confinado, sujeito a explosões, incêndios, iluminação e ventilação precárias.
O que é grisu?;Gás inflamável e explosivo contendo metano misturado ao ar atmosférico, geralmente em minas de carvão.
O que são blocos instáveis?;Blocos de rocha maiores que o choco, que nem sempre podem ser abatidos, necessitando escoramento ou fixação.
O que é mineração a céu aberto?;Extração de minério em depósitos superficiais ou menores profundidades, com acesso por vias de circulação construídas.
O que é mineração subterrânea?;Extração de minério em maiores profundidades, com acesso por poços verticais ou rampas, seguidos de galerias.
O que é direito de recusa na NR-22?;Direito dos trabalhadores de recusar exercer atividades em condições de risco para sua segurança e saúde ou de terceiros.
Qual a obrigação quanto à alimentação no subsolo?;Fornecer ao trabalhador alimentação compatível com a natureza do trabalho, sob orientação de nutricionista.
O que é Portaria MTE 225/2024?;Portaria de 27/02/2024 que deu nova redação à NR-22.
Quais normas internacionais influenciaram a NR-22 de 1999?;Diretivas da Comunidade Europeia, legislação da Espanha, África do Sul, EUA e normas francesas.
O que é o Anexo III da NR-22?;Requisitos mínimos para utilização de equipamentos de guindar de lança fixa, incluído em 2013.
O que a organização deve manter registrado sobre a supervisão técnica?;Atividades de supervisão do PLH: ocorrências, observações, intervenções propostas e realizadas que influam na segurança da mina.
