front;back
V ou F: Atividades realizadas a 1,5 m de altura com risco de queda estão dispensadas de qualquer medida de proteção.;Falso. Não se aplica a NR 35, mas devem ser adotadas medidas conforme NR 1 (item 1.4.1, alínea 'g').
Qual é o objetivo da NR 35?;Estabelecer requisitos e medidas de proteção para o trabalho em altura, envolvendo planejamento, organização e execução.
Qual a hierarquia de medidas no planejamento do trabalho em altura?;1º Evitar o trabalho em altura, 2º Eliminar o risco de queda, 3º Minimizar as consequências da queda.
V ou F: Todo trabalho em altura deve ser precedido de Análise de Risco.;Verdadeiro.
O que é a Análise de Risco (AR) na NR 35?;Método sistemático de exame e avaliação da sequência de procedimentos para execução da tarefa, com identificação de riscos potenciais, causas, consequências e medidas de controle.
V ou F: A NR 35 determina qual metodologia de análise de risco deve ser utilizada.;Falso. A decisão fica a cargo do empregador, dependendo da complexidade do serviço.
O que é a Permissão de Trabalho (PT) na NR 35?;Autorização prévia mediante documento escrito para atividades de trabalho em altura não rotineiras.
Quando é obrigatória a emissão de Permissão de Trabalho (PT) na NR 35?;Nas atividades de trabalho em altura não rotineiras.
O que a organização deve elaborar para atividades rotineiras de trabalho em altura?;Procedimento operacional.
V ou F: Para atividades rotineiras de trabalho em altura, a análise de risco pode estar contemplada no procedimento operacional.;Verdadeiro.
O que é absorvedor de energia na NR 35?;Elemento com função de limitar a força de impacto transmitida ao trabalhador pela dissipação da energia cinética.
O que é talabarte segundo a NR 35?;Dispositivo de conexão de um sistema de segurança, regulável ou não, para sustentar, posicionar e/ou limitar a movimentação do trabalhador.
O que é trava-queda segundo a NR 35?;Dispositivo de segurança para proteção contra quedas em operações com movimentação vertical ou horizontal, quando conectado com cinturão de segurança.
O que é a Zona Livre de Queda (ZLQ)?;Região entre o ponto de ancoragem e o obstáculo inferior mais próximo contra o qual o trabalhador possa colidir em caso de queda.
O que é ponto de ancoragem na NR 35?;Parte integrante de um sistema de ancoragem na qual o EPI é conectado.
O que é dispositivo de ancoragem na NR 35?;Dispositivo removível da estrutura, projetado para uso como parte de um sistema pessoal de proteção contra queda, com um ou mais pontos de ancoragem fixos ou móveis.
O que é ancoragem estrutural na NR 35?;Elemento fixado de forma permanente na estrutura, no qual um dispositivo de ancoragem ou EPI pode ser conectado.
O que é distância de queda livre?;Distância compreendida entre o início da queda e o início da retenção.
O que é distância de frenagem?;Distância percorrida durante a atuação do sistema de absorção de energia, entre o início da frenagem e o término da queda.
