front;back
Quais atividades a NR 11 regulamenta?;Operação de elevadores, guindastes, transportadores industriais e máquinas transportadoras, transporte de sacas, movimentação e armazenamento de materiais.
V ou F: A NR 11 se aplica a gruas e elevadores de cremalheira em obras de construção.;Falso. Esses equipamentos são tratados pela NR 18 (Indústria da Construção). A NR 11 aplica-se subsidiariamente.
Como são classificados os veículos industriais segundo a NR 11?;Empilhadeiras e paleteiras.
Quais são os equipamentos de elevação e movimentação citados na NR 11?;Guindastes e elevadores.
O que são transportadores contínuos segundo a NR 11?;Esteiras rolantes de correia e esteiras de roletes.
V ou F: Os poços de elevadores devem ser cercados solidamente em toda a sua altura.;Verdadeiro. Exceto nas portas ou cancelas de acesso a pavimentos.
O que deve ocorrer quando a cabina do elevador não está ao nível do pavimento?;A abertura deve estar protegida por corrimão ou outros dispositivos convenientes, impedindo queda de altura.
V ou F: Quando a cabina do elevador não está ao nível do pavimento e a abertura está desprotegida, configura-se risco grave e iminente.;Verdadeiro. O elevador deve ser interditado nessa situação.
Que informação deve constar em lugar visível em todos os equipamentos de movimentação de materiais?;A carga máxima de trabalho permitida.
V ou F: Cabos de aço utilizados na movimentação de materiais devem ser inspecionados semanalmente.;Falso. Devem ser inspecionados diariamente.
O que é a deformação 'gaiola de passarinho' em cabos de aço?;É a extrusão da alma (núcleo) do cabo decorrente do alívio repentino de tensão, com aspecto de gaiola.
Quando um cabo de aço com deformações severas é identificado, qual a providência?;Deve ser imediatamente descartado. Se verificado pelo AFT, o equipamento deve ser interditado.
Quem pode operar equipamentos de transporte com força motriz própria (empilhadeiras)?;Somente operador que recebeu treinamento específico dado pela empresa, que o habilita na função.
V ou F: O operador de empilhadeira precisa de Carteira Nacional de Habilitação (CNH).;Falso. A habilitação exigida pela NR 11 refere-se à capacitação dada pela empresa, não à CNH para vias públicas.
O que o operador de empilhadeira deve portar durante a operação?;Cartão de identificação com nome e fotografia, em lugar visível.
Qual a validade do cartão de identificação do operador de empilhadeira?;Um ano, salvo imprevisto. Para revalidação, o empregado passa por exame de saúde completo.
Quem custeia o exame de saúde para revalidação do cartão do operador de empilhadeira?;O empregador.
V ou F: Equipamentos de transporte motorizados devem possuir sinal de advertência sonora (buzina).;Verdadeiro. É exigência da NR 11.
Qual norma define a carga horária e conteúdo do treinamento do operador de empilhadeira?;A NR 12, Anexo II – Conteúdo programático da capacitação (item 1.1 – Operadores de máquinas automotrizes).
V ou F: As pistas de deslocamento de empilhadeiras devem estar livres de saliências e depressões.;Verdadeiro. Pisos irregulares causam instabilidade e expõem o trabalhador a vibrações de corpo inteiro.
Como devem ser as áreas de trânsito de pessoas e equipamentos de transporte?;Devem ser devidamente demarcadas e respeitadas por pedestres e operadores, conforme a NR 12.
V ou F: Empilhadeiras a combustão interna podem operar em locais fechados sem ventilação.;Falso. É proibido, salvo se providas de dispositivos neutralizadores adequados dos gases tóxicos.
O que se entende por transporte manual de sacas segundo a NR 11?;Atividade contínua ou descontínua em que o peso da carga é suportado integralmente por um só trabalhador, incluindo levantamento e deposição.
Qual a distância máxima permitida para transporte manual de um saco?;60 metros. Acima disso, deve-se usar vagonetes, carros de mão ou tração mecanizada.
V ou F: É permitido o transporte manual de sacos por pranchas sobre vãos superiores a 1,00 m.;Falso. A NR 11 proíbe o transporte manual de sacos por pranchas sobre vãos superiores a 1,00 m.
Qual a largura mínima das pranchas para transporte de sacas?;0,50 m (cinquenta centímetros).
Na carga/descarga manual de sacos em caminhão ou vagão, o que é obrigatório?;O trabalhador deve contar com o auxílio de ajudante.
Quais fatores limitam a altura máxima das pilhas de sacos em armazéns?;Resistência do piso, forma e resistência dos materiais de embalagem, estabilidade (geometria, amarração e inclinação).
V ou F: No empilhamento mecanizado, é aconselhado o uso de esteiras rolantes ou empilhadeiras.;Verdadeiro.
Quando é admitido o empilhamento manual de sacas?;Quando não for possível o uso de processo mecanizado, mediante uso de escada removível de madeira com requisitos específicos.
Qual a largura mínima da escada removível de madeira para empilhamento manual?;1,00 metro.
Quais as dimensões mínimas do patamar da escada removível para empilhamento?;1,00 m x 1,00 m.
Qual a altura máxima do patamar da escada removível em relação ao solo?;2,25 metros.
Qual a altura máxima do espelho do degrau na escada removível de empilhamento?;0,15 m (quinze centímetros).
Qual a largura mínima do piso do degrau na escada removível de empilhamento?;0,25 m (vinte e cinco centímetros).
Qual a altura exigida para o corrimão ou guarda-corpo da escada removível?;1,00 metro, em toda a sua extensão.
V ou F: A escada removível de madeira deve ser substituída imediatamente quando apresentar qualquer defeito.;Verdadeiro.
Qual material é recomendado para o piso do armazém segundo a NR 11?;Material não escorregadio, sem aspereza, preferencialmente mastique asfáltico, em perfeito estado de conservação.
V ou F: O material armazenado pode obstruir saídas de emergência desde que haja sinalização.;Falso. Não pode obstruir portas, equipamentos contra incêndio ou saídas de emergência em nenhuma hipótese.
Qual a distância mínima entre o material empilhado e as estruturas laterais do prédio?;0,50 m (cinquenta centímetros).
V ou F: A NR 11 é classificada como norma especial conforme a Portaria 672/2021.;Verdadeiro.
Quais itens devem ser inspecionados permanentemente nos equipamentos de movimentação?;Cabos de aço, cordas, correntes, roldanas e ganchos, substituindo-se partes defeituosas.
V ou F: Os equipamentos de movimentação devem ser apenas conservados, sem exigência quanto ao projeto.;Falso. Devem ser projetados e construídos de maneira que ofereçam garantias de resistência e segurança, além de conservados.
O que a empresa é obrigada a controlar quanto às empilhadeiras a combustão?;A emissão de gases tóxicos (CO, CO₂) emanados pelos veículos motorizados, evitando concentrações acima dos limites permissíveis.
A NR 11 possui anexo sobre qual tipo específico de material?;Chapas de rochas ornamentais – procedimentos para movimentação, armazenagem e manuseio.
V ou F: A escada removível para empilhamento deve ter lance único de degraus com acesso a patamar final.;Verdadeiro.
Que tipo de reforço a escada removível de empilhamento deve possuir?;Reforço lateral e vertical, por meio de estrutura metálica ou de madeira que assegure estabilidade.
V ou F: Segundo a NR 11, deformações como aumento ou redução localizada do diâmetro em cabos de aço exigem descarte imediato.;Verdadeiro. Qualquer deformação severa que comprometa a segurança exige descarte imediato.
Qual a principal causa de acidentes fatais com empilhadeiras citada na NR 11?;Atropelamentos, decorrentes da falta de demarcação e respeito às áreas de trânsito de pessoas e equipamentos.
V ou F: A NR 11 define carga horária mínima para o treinamento do operador de empilhadeira.;Falso. A NR 11 não define carga horária mínima nem conteúdo, remete-se à NR 12, Anexo II.
Qual o objetivo da NR 29?;Regular a proteção obrigatória contra acidentes e doenças profissionais, facilitar os primeiros socorros e alcançar melhores condições de segurança e saúde no trabalho portuário.
