front;back
Qual é o objetivo da NR-10 conforme o item 10.1.1?;Estabelecer requisitos e condições mínimas para implementação de medidas de controle e sistemas preventivos, garantindo a segurança e saúde dos trabalhadores que interajam direta ou indiretamente em instalações elétricas.
V ou F: A NR-10 se aplica apenas aos trabalhadores que interagem diretamente com instalações elétricas.;FALSO. Aplica-se a trabalhadores que interajam direta ou indiretamente em instalações elétricas e serviços com eletricidade.
Quais são as fases abrangidas pela NR-10?;Geração, transmissão, distribuição e consumo de energia elétrica.
Quais etapas dos serviços em instalações elétricas são abrangidas pela NR-10?;Projeto, construção, montagem, operação, manutenção e quaisquer trabalhos realizados nas proximidades.
V ou F: A NR-10 não se aplica a trabalhos realizados nas proximidades de instalações elétricas.;FALSO. A NR-10 se aplica inclusive aos trabalhos realizados nas proximidades de instalações elétricas.
O que é Zona Controlada (Zc) segundo a NR-10?;Entorno de parte condutora energizada, não segregada, acessível, de dimensões estabelecidas conforme o nível de tensão, cuja aproximação só é permitida a profissionais autorizados.
O que é Zona de Risco (Zr) segundo a NR-10?;Entorno de parte condutora energizada, não segregada, acessível inclusive acidentalmente, cuja aproximação só é permitida a profissionais autorizados com adoção de técnicas e instrumentos apropriados.
Qual a diferença entre Zona de Risco e Zona Controlada em relação ao ponto energizado?;A Zona de Risco é mais próxima ao ponto energizado, a Zona Controlada é mais distante, mas ainda apresenta risco.
Qual é o raio de delimitação da Zona de Risco (Rr) para tensão inferior a 1 kV?;0,20 metro.
Qual é o raio de delimitação da Zona Controlada (Rc) para tensão inferior a 1 kV?;0,70 metro.
V ou F: Quanto maior a tensão nominal da instalação, maiores são os raios de delimitação das zonas de risco e controlada.;VERDADEIRO. Os raios Rr e Rc aumentam proporcionalmente à faixa de tensão nominal.
O que caracteriza 'trabalho em proximidade' segundo o Glossário da NR-10?;Trabalho durante o qual o trabalhador pode entrar na zona controlada, ainda que com parte do corpo ou com extensões condutoras (materiais, ferramentas ou equipamentos).
V ou F: A simples entrada na zona controlada já caracteriza trabalho nas proximidades de instalações elétricas.;VERDADEIRO.
O que a NR-10 determina que deve ser adotado em todas as intervenções em instalações elétricas?;Medidas preventivas de controle do risco elétrico e de outros riscos adicionais, mediante técnicas de análise de risco.
Cite exemplos de riscos adicionais nas intervenções em instalações elétricas.;Queda de altura, condições atmosféricas, atropelamento, espaços confinados, umidade e animais peçonhentos.
Qual a prioridade entre medidas de proteção coletiva e individual segundo a NR-10?;As medidas de proteção coletiva devem ser adotadas prioritariamente. As individuais só quando as coletivas forem tecnicamente inviáveis ou insuficientes.
Qual é a primeira medida de proteção coletiva a ser adotada conforme a NR-10?;Desenergização elétrica.
Quando não for possível a desenergização, qual medida de proteção coletiva deve ser empregada?;Emprego de tensão de segurança (extrabaixa tensão).
Qual o valor da tensão de segurança (extrabaixa tensão) em corrente alternada e contínua?;Não superior a 50 V em corrente alternada ou 120 V em corrente contínua, entre fases ou entre fase e terra.
Cite medidas de proteção coletiva quando a desenergização e a tensão de segurança não forem possíveis.;Isolamento de partes vivas, obstáculos/barreiras, sinalização, seccionamento automático e bloqueio do religamento automático.
Qual a diferença entre obstáculo e barreira na NR-10?;Obstáculo impede apenas o contato acidental, barreira impede qualquer contato (acidental ou intencional) com partes energizadas.
O que é seccionamento automático?;Interrupção da alimentação elétrica mediante acionamento de dispositivo de proteção como disjuntores, fusíveis ou relés.
O que é o bloqueio do religamento automático?;Medida que impede o religamento automático de um circuito no caso de ocorrência de alguma irregularidade.
Quais são as funções do aterramento elétrico?;Proteger o usuário contra descargas atmosféricas (caminho alternativo para a terra) e permitir a descarga de cargas estáticas acumuladas nas carcaças de máquinas/equipamentos.
V ou F: O aterramento deve ser executado conforme regulamentação dos órgãos competentes e, na ausência desta, conforme Normas Internacionais vigentes.;VERDADEIRO.
Quando devem ser adotadas medidas de proteção individual na NR-10?;Quando as medidas de proteção coletiva forem tecnicamente inviáveis ou insuficientes para controlar os riscos.
O que a NR-10 proíbe em relação a adornos pessoais?;É proibido o uso de adornos pessoais nos trabalhos em instalações elétricas ou em suas proximidades, em razão da sua característica condutiva.
Relógios e óculos são considerados adornos pessoais pela NR-10?;Não. Objetos requeridos ou indispensáveis à realização das atividades não são considerados adornos, cabendo à empresa a análise e liberação.
Quais características as vestimentas de trabalho devem contemplar segundo a NR-10?;Condutibilidade, inflamabilidade e influências eletromagnéticas.
O que significa a adequação da vestimenta quanto à condutibilidade?;A vestimenta não deve possuir elementos condutivos, visando proteção contra choque elétrico por contato.
O que significa a adequação da vestimenta quanto à inflamabilidade?;A vestimenta deve ser feita de tecido que não propague a chama, funcionando como barreira para o calor.
O que significa a adequação da vestimenta quanto às influências eletromagnéticas?;A vestimenta deve oferecer proteção contra campos eletromagnéticos, fazendo a energia circular na periferia e não na parte interna.
Quais são os principais objetivos das técnicas de análise de risco na NR-10?;Identificar riscos potenciais, dimensionar a exposição do trabalhador, identificar problemas operacionais e determinar medidas de controle.
Cite metodologias de análise de risco mencionadas no contexto da NR-10.;APR (Análise Preliminar de Risco), FMEA, HAZOP e APP (Análise Preliminar de Perigo).
V ou F: A NR-10 determina qual metodologia de análise de risco deve ser utilizada.;FALSO. A escolha da metodologia é decisão do empregador, de acordo com a complexidade da situação.
O reconhecimento dos riscos, avaliação e medidas de controle devem integrar qual programa?;O Programa de Gerenciamento de Riscos (PGR).
O que são esquemas unifilares?;Representações gráficas simplificadas das instalações elétricas contendo especificações do sistema de aterramento e demais dispositivos de proteção.
V ou F: Apenas empresas com carga acima de 75 kW precisam manter esquemas unifilares.;FALSO. Todas as empresas devem possuir esquema unifilar e mantê-lo atualizado.
O que é o Prontuário de Instalações Elétricas (PIE)?;Conjunto de documentos com informações sobre as instalações elétricas: especificações técnicas, características e limitações, devendo ser imediatamente acessível.
Quais empresas são obrigadas a manter o Prontuário de Instalações Elétricas quanto à potência?;Empresas com estabelecimentos com carga instalada superior a 75 kW.
Quais empresas são obrigadas a manter o PIE quanto à área de atividade?;Empresas de geração, transmissão ou distribuição que integram o sistema elétrico de potência.
Por que estabelecimentos com carga superior a 75 kW devem manter o PIE?;Porque toda edificação com carga acima de 75 kW deve ser atendida com média ou alta-tensão, exigindo controle mais criterioso.
O que é carga instalada?;Soma das potências nominais dos equipamentos e máquinas elétricas instalados em determinado estabelecimento.
Cite 3 documentos que devem constar no Prontuário de Instalações Elétricas.;Procedimentos e instruções técnicas de segurança, documentação das inspeções do sistema de proteção contra descargas atmosféricas, especificação dos EPCs e EPIs.
O PIE deve conter documentação comprobatória de quê em relação aos trabalhadores?;Da qualificação, habilitação, capacitação, autorização dos trabalhadores e dos treinamentos realizados.
V ou F: O Prontuário deve ser organizado por empresa e mantido pelo sindicato da categoria.;FALSO. Deve ser organizado por estabelecimento e mantido pelo empregador ou pessoa formalmente designada.
Quem deve elaborar os documentos técnicos do Prontuário de Instalações Elétricas?;Profissional legalmente habilitado.
O que é choque elétrico?;Conjunto de perturbações sofridas pelo organismo ao ser percorrido por uma corrente elétrica.
Quais são as principais consequências do choque elétrico?;Paradas cardiorrespiratórias, perturbações no sistema nervoso, queimaduras internas e externas, e morte.
De quais fatores depende a gravidade dos danos causados pelo choque elétrico?;Intensidade da corrente, percurso da corrente pelo corpo e tempo de duração.
Qual a resistência da pele seca ao choque elétrico?;Entre 100.000 Ohms e 600.000 Ohms (100 kΩ a 600 kΩ).
Qual a resistência da pele molhada ao choque elétrico?;Cerca de 500 Ohms (queda drástica em relação à pele seca).
Qual a resistência interna do corpo humano à corrente elétrica?;Cerca de 300 a 500 Ohms, dependendo do percurso da corrente.
V ou F: A pele molhada oferece resistência significativamente menor à passagem de corrente elétrica.;VERDADEIRO. A resistência cai de até 600 kΩ (seca) para cerca de 500 Ω (molhada).
Por que o percurso da corrente pelo corpo é importante no choque elétrico?;Se a corrente passar pelo coração (ex: de um braço a outro), pode causar parada cardíaca, se passar só pelas pernas, pode causar queimaduras sem lesões mais sérias.
V ou F: Quanto maior o tempo de exposição à corrente elétrica, mais graves são os danos.;VERDADEIRO. Por isso acidentes mais graves são aqueles em que o trabalhador fica preso ao circuito.
Quando foi publicada a nova redação da NR-10?;Em 7 de dezembro de 2004, pela Portaria 598.
O que a Portaria 598/2004 trouxe de novidade para a NR-10?;Proibição de trabalho individual em alta-tensão ou no SEP, obrigatoriedade do PIE e Manual descritivo, e detalhamento do perfil dos trabalhadores.
V ou F: É permitido trabalho individual em atividades em alta-tensão segundo a NR-10.;FALSO. A NR-10 proíbe trabalho individual em atividades em alta-tensão ou no Sistema Elétrico de Potência.
O que é trabalhador com interação direta em instalações elétricas?;Aquele objetivamente envolvido na atividade: eletricistas, cabistas, montadores, instaladores e técnicos.
O que é trabalhador com interação indireta em instalações elétricas?;Aquele que não realiza intervenções diretas, mas está sujeito a irregularidades ou ausência de medidas de controle, incluindo usuários de equipamentos elétricos.
V ou F: As disposições da NR-10 representam o grau máximo de proteção exigido das empresas.;FALSO. Representam o grau de exigibilidade mínimo para fins de auditoria e punibilidade.
Qual é o objetivo principal (caráter) da NR-10?;Prevencionista — a prevenção de acidentes com eletricidade por meio de medidas de controle e sistemas preventivos.
O que é instalação elétrica conforme o Glossário da NR-10?;Conjunto das partes elétricas e não elétricas associadas, com características coordenadas entre si, necessárias ao funcionamento de uma parte determinada de um sistema elétrico.
Por que a energia elétrica é transmitida em alta-tensão?;Para evitar a perda excessiva de energia durante a transmissão a longas distâncias.
Qual é a função dos sistemas de distribuição de energia elétrica?;Converter a energia de alta-tensão para o nível de tensão em que os equipamentos operam (110 V ou 220 V) e distribuí-la aos consumidores.
O que é Zona Livre (ZL) na NR-10?;Área além da zona controlada, onde não há restrição de aproximação por risco elétrico.
Qual o raio da zona de risco (Rr) para tensão entre 70 e 110 kV?;1,00 metro.
Qual o raio da zona controlada (Rc) para tensão entre 70 e 110 kV?;2,00 metros.
Qual o raio da zona de risco (Rr) para tensão entre 220 e 275 kV?;1,80 metro.
O que deve constar nos esquemas unifilares além da representação gráfica?;Especificações do sistema de aterramento e demais dispositivos de proteção (relés de proteção, disjuntores diferenciais residuais).
V ou F: O trabalhador qualificado é aquele que concluiu curso específico na área elétrica reconhecido pelo Sistema Oficial de Ensino.;VERDADEIRO. Qualificado = formação em curso reconhecido pelo sistema oficial de ensino.
V ou F: Trabalhador habilitado é aquele que possui registro no competente conselho de classe.;VERDADEIRO. Habilitado = qualificado + registro no conselho de classe (ex: CREA).
O que é trabalhador capacitado conforme a NR-10?;Aquele que recebeu capacitação sob orientação e responsabilidade de profissional habilitado e autorizado, e que trabalha sob supervisão deste.
O que é trabalhador autorizado conforme a NR-10?;Aquele que é qualificado, habilitado ou capacitado, com anuência formal da empresa para intervir em instalações elétricas.
V ou F: Todo trabalhador habilitado está automaticamente autorizado a intervir em instalações elétricas.;FALSO. É necessária a anuência formal da empresa (autorização) mesmo para habilitados.
Qual a carga horária mínima do curso básico de segurança em instalações elétricas (NR-10 básico)?;40 horas.
Qual a carga horária mínima do curso complementar (SEP) da NR-10?;40 horas (curso complementar para trabalhos no Sistema Elétrico de Potência).
Qual a validade (periodicidade de reciclagem) do treinamento da NR-10?;A cada 2 anos (bienal), com carga horária mínima definida.
V ou F: O curso complementar de SEP substitui o curso básico da NR-10.;FALSO. O curso complementar é adicional — o trabalhador precisa ter o curso básico como pré-requisito.
Quais são as etapas obrigatórias do procedimento de desenergização?;Seccionamento, impedimento de reenergização, constatação da ausência de tensão, instalação de aterramento temporário com equipotencialização, proteção dos elementos energizados existentes na zona controlada, e instalação de sinalização de impedimento de reenergização.
V ou F: A ordem das etapas de desenergização pode ser alterada conforme conveniência.;FALSO. A sequência de desenergização deve ser obedecida rigorosamente na ordem estabelecida pela norma.
Quais são as etapas do procedimento de reenergização?;Retirada das ferramentas e equipamentos, retirada da zona controlada, remoção do aterramento temporário e da equipotencialização, remoção da sinalização e desbloqueio dos dispositivos de seccionamento.
V ou F: A reenergização segue a ordem inversa da desenergização.;VERDADEIRO. O procedimento de reenergização obedece a sequência inversa à desenergização.
