front;back
Qual a finalidade da NR-32?;Estabelecer diretrizes para proteção à segurança e saúde dos trabalhadores dos serviços de saúde e de promoção/assistência à saúde.
O que são serviços de saúde para fins da NR-32?;Edificações destinadas à prestação de assistência à saúde da população, e ações de promoção, recuperação, assistência, pesquisa e ensino em saúde.
V ou F: A NR-32 abrange apenas profissionais de saúde.;Falso. Abrange todos os trabalhadores que exercem atividades nas edificações de saúde, inclusive segurança patrimonial e manutenção.
V ou F: A NR-32 se aplica a serviços de saúde animal.;Falso. Aplica-se apenas a serviços de saúde humana.
Cite 5 atividades abrangidas pela NR-32 que podem gerar dúvida.;Atendimento domiciliar, unidades móveis fluviais, vacinação, farmácias com manipulação, lavanderia hospitalar.
V ou F: Ambulâncias de remoção são abrangidas pela NR-32.;Verdadeiro. Mesmo que o serviço seja apenas de remoção, sem atendimento ao paciente.
V ou F: Drogarias e farmácias são abrangidas pela NR-32.;Verdadeiro. Comércio varejista de produtos farmacêuticos, com ou sem manipulação.
O que é risco biológico segundo a NR-32?;Probabilidade de exposição ocupacional a agentes biológicos (microrganismos, culturas de células, parasitas, toxinas e príons).
Quais são os agentes biológicos da NR-32?;Microrganismos (geneticamente modificados ou não), culturas de células, parasitas, toxinas e príons.
O que são príons?;Estruturas proteicas alteradas causadoras de doenças degenerativas do SNC (encefalopatias espongiformes, como mal da vaca louca).
O que são toxinas para a NR-32?;Substâncias químicas sintetizadas por organismos que causam danos à saúde humana, podendo provocar morte.
Quantas classes de risco existem para agentes biológicos na NR-32?;4 classes (1 a 4), classificadas em função do risco de contaminação.
Quais critérios definem a classe de risco dos agentes biológicos?;Riscos para saúde do trabalhador, capacidade de propagação para coletividade, existência de profilaxia e tratamento.
Qual a classe de risco mais perigosa?;Classe 4: elevado risco individual e para comunidade, sem profilaxia ou tratamento eficaz disponível.
Qual a regra para vírus não incluídos na tabela do Anexo II da NR-32?;Devem ser classificados na classe de risco 2 até que estudos para sua classificação estejam concluídos.
V ou F: Organismos geneticamente modificados estão incluídos na tabela do Anexo II.;Falso. Não estão incluídos na tabela de classificação.
O que é exposição deliberada a agentes biológicos?;Quando o agente biológico é o objeto principal do trabalho (ex: laboratórios de microbiologia, biotecnologia).
O que é exposição não deliberada a agentes biológicos?;Quando a atividade não envolve manipulação direta do agente como objeto principal (ex: atendimento em saúde, limpeza hospitalar).
V ou F: A classificação dos agentes biológicos considera os efeitos em trabalhadores imunodeprimidos.;Falso. Foram considerados apenas os efeitos para trabalhadores sadios.
O que são fontes de exposição na NR-32?;Pessoas, animais, objetos ou substâncias que abrigam agentes biológicos e possibilitam transmissão.
O que é reservatório de agentes biológicos?;Pessoa, animal, objeto ou substância onde o agente pode persistir, manter viabilidade, crescer ou multiplicar-se.
Quais são as vias de transmissão de agentes biológicos?;Direta (sem intermediação, ex: bioaerossóis) e indireta (por veículos ou vetores, ex: perfurocortantes).
Quais são as vias de entrada de agentes biológicos?;Cutânea, parenteral (inoculação), mucosas, respiratória (inalação), oral (ingestão).
O que é patogenicidade?;Capacidade de um agente biológico causar doença em um hospedeiro suscetível.
O que é virulência?;Grau de agressividade de um agente biológico — alta virulência pode levar a formas graves ou fatais.
O que é transmissibilidade?;Capacidade de transmissão de um agente a um hospedeiro, inclui o período de transmissibilidade.
Quando o PGR dos serviços de saúde deve ser reavaliado?;Quando houver mudança nas condições que altere a exposição a agentes biológicos ou quando a análise de acidentes/incidentes determinar.
O que o PCMSO dos serviços de saúde deve contemplar além da NR-7?;Reconhecimento e avaliação dos riscos biológicos, localização das áreas de risco.
