front;back
Qual artigo da CLT é regulamentado pela NR-4?;Art. 162 da CLT.
Qual a finalidade do SESMT?;Promover a saúde e proteger a integridade dos trabalhadores.
V ou F: A NR-4 é uma norma setorial.;Falso. A NR-4 é uma norma geral, aplicável a todas as atividades econômicas.
Quais NRs setoriais possuem regras próprias de constituição do SESMT?;NR-29 (trabalho portuário), NR-31 (trabalho rural) e NR-37 (plataformas de petróleo).
Quando a NR-4 é aplicada subsidiariamente?;Quando há norma setorial específica — na omissão desta, vale a NR-4 (norma geral).
Quais entidades são obrigadas a constituir o SESMT?;Organizações e órgãos públicos da administração direta e indireta, Legislativo, Judiciário e MP que possuam empregados celetistas.
V ou F: Toda organização com empregados celetistas é obrigada a constituir SESMT.;Falso. A obrigatoriedade depende do enquadramento nos critérios de dimensionamento (Anexo II).
V ou F: Trabalhadores de outras relações jurídicas (não celetistas) nunca são alcançados pela NR-4.;Falso. Se houver previsão legal, aplica-se a NR-4 a outras relações jurídicas de trabalho (item 4.2.2).
Qual a regra geral sobre a constituição do SESMT?;Deve ser constituído por estabelecimento (SESMT individual).
Quais são os profissionais de nível superior que compõem o SESMT na área de Segurança do Trabalho?;Engenheiro de Segurança do Trabalho.
Quais são os profissionais de nível superior que compõem o SESMT na área de Saúde do Trabalho?;Médico do Trabalho e Enfermeiro do Trabalho.
Quais são os profissionais de nível médio que compõem o SESMT na área de Segurança do Trabalho?;Técnico de Segurança do Trabalho.
Quais são os profissionais de nível médio que compõem o SESMT na área de Saúde do Trabalho?;Auxiliar ou Técnico de Enfermagem do Trabalho.
Quem pode coordenar o SESMT?;Qualquer um dos profissionais integrantes do SESMT.
V ou F: A coordenação do SESMT deve ser exercida obrigatoriamente pelo Engenheiro de Segurança do Trabalho.;Falso. Qualquer profissional integrante do SESMT pode coordená-lo.
Qual lei dispõe sobre a especialização em Engenharia de Segurança do Trabalho e sobre a profissão de Técnico de Segurança?;Lei 7.410/1985.
Qual resolução reconheceu a Medicina do Trabalho como especialidade médica?;Resolução CFM 1.634/2002.
Qual lei regulamenta as profissões de Enfermagem do Trabalho?;Lei 7.498/1986, regulamentada pelo Decreto 94.406/1987.
V ou F: A organização pode contratar outros profissionais além dos previstos na NR-4 para integrar o SESMT.;Verdadeiro. Pode contratar, a seu critério, profissionais como fisioterapeutas ou psicólogos do trabalho.
Quais são as modalidades de SESMT previstas na NR-4?;Individual, Regionalizado, Estadual e Compartilhado.
Quando deve ser constituído o SESMT individual?;Quando a organização possui um ou mais estabelecimentos enquadrados no Anexo II.
Quando deve ser constituído o SESMT regionalizado?;Quando pelo menos um estabelecimento se enquadra no Anexo II e outro(s) não se enquadra(m), devendo o primeiro estender assistência aos demais.
